# file...... TM_1_T_1_AS_632_measured_power.csv
# date...... Wed Nov 21 19:24:59 2018
# user...... AICPS
# host...... (null)
# trigger... (none)
# interval.. 600
# limit..... 0
# timestamp,TM_1_T_1_AS_632:measured_demand,TM_1_T_1_AS_632:measured_power
2005-11-01 15:10:00 PST,+16868.6,+13430.7+2.63206d
2005-11-01 15:20:00 PST,+16868.6,+13107.8+2.28865d
2005-11-01 15:30:00 PST,+16868.6,+1422.75+20.779d
2005-11-01 15:40:00 PST,+16868.6,+1090.55+22.1598d
2005-11-01 15:50:00 PST,+16868.6,+1023.33+21.7887d
2005-11-01 16:00:00 PST,+16868.6,+692.063+24.4502d
2005-11-01 16:10:00 PST,+16868.6,+692.063+24.4502d
2005-11-01 16:20:00 PST,+16868.6,+692.063+24.4502d
2005-11-01 16:30:00 PST,+16868.6,+825.364+24.675d
2005-11-01 16:40:00 PST,+16868.6,+2795.57+7.07994d
2005-11-01 16:50:00 PST,+16868.6,+2795.57+7.07994d
2005-11-01 17:00:00 PST,+16868.6,+3125.13+8.05582d
2005-11-01 17:10:00 PST,+16868.6,+2795.57+7.07994d
2005-11-01 17:20:00 PST,+16868.6,+2795.57+7.07994d
2005-11-01 17:30:00 PST,+16868.6,+6192.2+3.8128d
2005-11-01 17:40:00 PST,+16868.6,+4175.35+5.65954d
2005-11-01 17:50:00 PST,+16868.6,+4175.35+5.65954d
2005-11-01 18:00:00 PST,+16868.6,+4191.8+5.7095d
2005-11-01 18:10:00 PST,+16868.6,+4611.82+6.71978d
2005-11-01 18:20:00 PST,+16868.6,+4283.31+5.98043d
2005-11-01 18:30:00 PST,+16868.6,+4419.44+6.61667d
2005-11-01 18:40:00 PST,+16868.6,+4419.44+6.61667d
2005-11-01 18:50:00 PST,+16868.6,+4311.22+6.32185d
2005-11-01 19:00:00 PST,+16868.6,+4327.7+6.36773d
2005-11-01 19:10:00 PST,+16868.6,+4311.22+6.32185d
2005-11-01 19:20:00 PST,+16868.6,+4311.22+6.32185d
2005-11-01 19:30:00 PST,+16868.6,+4429.93+6.66399d
2005-11-01 19:40:00 PST,+16868.6,+4429.93+6.66399d
2005-11-01 19:50:00 PST,+16868.6,+4429.93+6.66399d
2005-11-01 20:00:00 PST,+16868.6,+4446.43+6.70737d
2005-11-01 20:10:00 PST,+16868.6,+16429.3+2.13144d
2005-11-01 20:20:00 PST,+16868.6,+16751.9+2.40973d
2005-11-01 20:30:00 PST,+16868.6,+4300.75+6.27239d
2005-11-01 20:40:00 PST,+16868.6,+4629.53+6.98821d
2005-11-01 20:50:00 PST,+16868.6,+4408.95+6.56912d
2005-11-01 21:00:00 PST,+16868.6,+4737.99+7.24796d
2005-11-01 21:10:00 PST,+16868.6,+4408.95+6.56912d
2005-11-01 21:20:00 PST,+16868.6,+6423.21+4.50386d
2005-11-01 21:30:00 PST,+16868.6,+6350.87+4.24851d
2005-11-01 21:40:00 PST,+16868.6,+6350.87+4.24851d
2005-11-01 21:50:00 PST,+16868.6,+6350.87+4.24851d
2005-11-01 22:00:00 PST,+16868.6,+6367.21+4.28504d
2005-11-01 22:10:00 PST,+16868.6,+3070.37+8.81446d
2005-11-01 22:20:00 PST,+16868.6,+1114.21+24.9775d
2005-11-01 22:30:00 PST,+16868.6,+947.564+24.8255d
2005-11-01 22:40:00 PST,+16868.6,+837.874+25.6983d
2005-11-01 22:50:00 PST,+16868.6,+837.874+25.6983d
2005-11-01 23:00:00 PST,+16868.6,+1362.47+22.801d
2005-11-01 23:10:00 PST,+16868.6,+1677.44+21.5494d
2005-11-01 23:20:00 PST,+16868.6,+1345.68+22.8586d
2005-11-01 23:30:00 PST,+16868.6,+1467.02+20.9322d
2005-11-01 23:40:00 PST,+16868.6,+1134.91+22.3039d
2005-11-01 23:50:00 PST,+16868.6,+736.495+24.5342d
