# file...... H_1_ambient_temp.csv
# date...... Wed Nov 21 19:24:59 2018
# user...... AICPS
# host...... (null)
# trigger... (none)
# interval.. 600
# limit..... 0
# timestamp,H_1:air_temperature
2005-11-01 20:30:00 PST,+67.4884
2005-11-01 20:40:00 PST,+68.2691
2005-11-01 20:50:00 PST,+67.394
2005-11-01 21:00:00 PST,+68.9765
2005-11-01 21:10:00 PST,+67.3144
2005-11-01 21:20:00 PST,+68.7102
2005-11-01 21:30:00 PST,+67.2569
2005-11-01 21:40:00 PST,+68.4371
2005-11-01 21:50:00 PST,+67.197
2005-11-01 22:00:00 PST,+68.2162
2005-11-01 22:10:00 PST,+67.1524
2005-11-01 22:20:00 PST,+68.0565
2005-11-01 22:30:00 PST,+67.1093
2005-11-01 22:40:00 PST,+67.8432
2005-11-01 22:50:00 PST,+67.0334
2005-11-01 23:00:00 PST,+67.6125
2005-11-01 23:10:00 PST,+67.7138
2005-11-01 23:20:00 PST,+67.4449
2005-11-01 23:30:00 PST,+68.7488
2005-11-01 23:40:00 PST,+67.2964
2005-11-01 23:50:00 PST,+68.3747
