# file...... T_1_AS_632.csv
# date...... Thu Nov 15 15:18:02 2018
# user...... arnav
# host...... (null)
# trigger... (none)
# interval.. 200
# limit..... 0
# timestamp,T_1_AS_632:power_out_real
2005-11-01 00:00:00 PST,+4075.48
2005-11-01 00:03:20 PST,+4095.94
2005-11-01 00:06:40 PST,+4719.27
2005-11-01 00:10:00 PST,+5393.92
2005-11-01 00:13:20 PST,+4241.51
2005-11-01 00:16:40 PST,+1505.03
2005-11-01 00:20:00 PST,+3748.06
2005-11-01 00:23:20 PST,+3748.06
2005-11-01 00:26:40 PST,+1401.03
2005-11-01 00:30:00 PST,+1271.02
2005-11-01 00:33:20 PST,+1591.24
2005-11-01 00:36:40 PST,+791.257
2005-11-01 00:40:00 PST,+1091.26
2005-11-01 00:43:20 PST,+1111.49
2005-11-01 00:46:40 PST,+896.259
2005-11-01 00:50:00 PST,+896.259
2005-11-01 00:53:20 PST,+1376.03
2005-11-01 00:56:40 PST,+4604.49
2005-11-01 01:00:00 PST,+1712.24
2005-11-01 01:03:20 PST,+896.259
2005-11-01 01:06:40 PST,+4127.58
2005-11-01 01:10:00 PST,+1216.49
2005-11-01 01:13:20 PST,+896.259
2005-11-01 01:16:40 PST,+4130.42
2005-11-01 01:20:00 PST,+1696.24
2005-11-01 01:23:20 PST,+896.259
2005-11-01 01:26:40 PST,+3267.04
2005-11-01 01:30:00 PST,+3547.12
2005-11-01 01:33:20 PST,+6464.85
2005-11-01 01:36:40 PST,+3227.05
2005-11-01 01:40:00 PST,+3547.12
2005-11-01 01:43:20 PST,+4545.83
2005-11-01 01:46:40 PST,+1304.02
2005-11-01 01:50:00 PST,+1624.24
2005-11-01 01:53:20 PST,+4068.91
2005-11-01 01:56:40 PST,+824.258
2005-11-01 02:00:00 PST,+2531.18
2005-11-01 02:03:20 PST,+2531.18
2005-11-01 02:06:40 PST,+2211.06
2005-11-01 02:10:00 PST,+2211.06
2005-11-01 02:13:20 PST,+2531.18
2005-11-01 02:16:40 PST,+1144.49
2005-11-01 02:20:00 PST,+2211.06
2005-11-01 02:23:20 PST,+2211.06
2005-11-01 02:26:40 PST,+2418.21
2005-11-01 02:30:00 PST,+1021.49
2005-11-01 02:33:20 PST,+701.256
2005-11-01 02:36:40 PST,+3958.07
2005-11-01 02:40:00 PST,+1021.49
2005-11-01 02:43:20 PST,+701.256
2005-11-01 02:46:40 PST,+3960.89
2005-11-01 02:50:00 PST,+1021.49
2005-11-01 02:53:20 PST,+701.256
2005-11-01 02:56:40 PST,+3963.71
2005-11-01 03:00:00 PST,+1021.49
2005-11-01 03:03:20 PST,+701.256
2005-11-01 03:06:40 PST,+3966.53
2005-11-01 03:10:00 PST,+1021.49
2005-11-01 03:13:20 PST,+806.257
2005-11-01 03:16:40 PST,+4074.35
2005-11-01 03:20:00 PST,+1126.49
2005-11-01 03:23:20 PST,+806.257
2005-11-01 03:26:40 PST,+4069.16
2005-11-01 03:30:00 PST,+1108.49
2005-11-01 03:33:20 PST,+788.257
2005-11-01 03:36:40 PST,+4061.97
2005-11-01 03:40:00 PST,+1108.49
2005-11-01 03:43:20 PST,+788.257
2005-11-01 03:46:40 PST,+3959.79
2005-11-01 03:50:00 PST,+983.242
2005-11-01 03:53:20 PST,+663.007
2005-11-01 03:56:40 PST,+6976.93
2005-11-01 04:00:00 PST,+983.242
2005-11-01 04:03:20 PST,+663.007
2005-11-01 04:06:40 PST,+3945.17
2005-11-01 04:10:00 PST,+983.242
2005-11-01 04:13:20 PST,+663.007
2005-11-01 04:16:40 PST,+3947.98
2005-11-01 04:20:00 PST,+983.242
2005-11-01 04:23:20 PST,+663.007
2005-11-01 04:26:40 PST,+3958.78
2005-11-01 04:30:00 PST,+3969.9
2005-11-01 04:33:20 PST,+786.009
2005-11-01 04:36:40 PST,+786.009
2005-11-01 04:40:00 PST,+4077.7
2005-11-01 04:43:20 PST,+786.009
2005-11-01 04:46:40 PST,+786.009
2005-11-01 04:50:00 PST,+4080.5
