# file...... H_1_ambient_temp.csv
# date...... Thu Nov 01 18:15:27 2018
# user...... arnav
# host...... (null)
# trigger... (none)
# interval.. 600
# limit..... 0
# timestamp,H_1:air_temperature
2005-11-01 00:00:00 PST,+67.0878
2005-11-01 00:10:00 PST,+67.154
2005-11-01 00:20:00 PST,+67.352
2005-11-01 00:30:00 PST,+67.7014
2005-11-01 00:40:00 PST,+68.3035
2005-11-01 00:50:00 PST,+68.3592
2005-11-01 01:00:00 PST,+67.1581
2005-11-01 01:10:00 PST,+67.6313
2005-11-01 01:20:00 PST,+68.5441
2005-11-01 01:30:00 PST,+67.0014
2005-11-01 01:40:00 PST,+67.3858
2005-11-01 01:50:00 PST,+68.0997
2005-11-01 02:00:00 PST,+68.1773
2005-11-01 02:10:00 PST,+67.2334
2005-11-01 02:20:00 PST,+67.8242
2005-11-01 02:30:00 PST,+68.9167
2005-11-01 02:40:00 PST,+67.1321
2005-11-01 02:50:00 PST,+67.6403
2005-11-01 03:00:00 PST,+68.6922
2005-11-01 03:10:00 PST,+67.065
2005-11-01 03:20:00 PST,+67.529
2005-11-01 03:30:00 PST,+68.4834
2005-11-01 03:40:00 PST,+67.0251
2005-11-01 03:50:00 PST,+67.4555
2005-11-01 04:00:00 PST,+68.3422
2005-11-01 04:10:00 PST,+67.0025
2005-11-01 04:20:00 PST,+67.4247
2005-11-01 04:30:00 PST,+68.3138
2005-11-01 04:40:00 PST,+67.0104
2005-11-01 04:50:00 PST,+67.448
2005-11-01 05:00:00 PST,+68.4038
2005-11-01 05:10:00 PST,+67.0433
2005-11-01 05:20:00 PST,+67.528
2005-11-01 05:30:00 PST,+68.6686
2005-11-01 05:40:00 PST,+67.1381
2005-11-01 05:50:00 PST,+67.7761
2005-11-01 06:00:00 PST,+68.0834
2005-11-01 06:10:00 PST,+67.3565
2005-11-01 06:20:00 PST,+68.5373
2005-11-01 06:30:00 PST,+67.2202
2005-11-01 06:40:00 PST,+63.6032
2005-11-01 06:50:00 PST,+60.9316
2005-11-01 07:00:00 PST,+59.196
2005-11-01 07:10:00 PST,+57.6416
2005-11-01 07:20:00 PST,+56.165
2005-11-01 07:30:00 PST,+54.7624
2005-11-01 07:40:00 PST,+53.4316
2005-11-01 07:50:00 PST,+52.1481
2005-11-01 08:00:00 PST,+50.917
2005-11-01 08:10:00 PST,+49.7397
2005-11-01 08:20:00 PST,+48.6163
2005-11-01 08:30:00 PST,+47.534
2005-11-01 08:40:00 PST,+46.4853
2005-11-01 08:50:00 PST,+45.492
2005-11-01 09:00:00 PST,+44.5489
2005-11-01 09:10:00 PST,+43.642
2005-11-01 09:20:00 PST,+42.7659
2005-11-01 09:30:00 PST,+41.9182
2005-11-01 09:40:00 PST,+41.0908
2005-11-01 09:50:00 PST,+40.3006
2005-11-01 10:00:00 PST,+39.545
2005-11-01 10:10:00 PST,+38.8106
2005-11-01 10:20:00 PST,+38.0899
2005-11-01 10:30:00 PST,+37.3818
2005-11-01 10:40:00 PST,+36.6873
2005-11-01 10:50:00 PST,+36.0125
2005-11-01 11:00:00 PST,+35.3551
2005-11-01 11:10:00 PST,+34.7112
2005-11-01 11:20:00 PST,+34.0777
2005-11-01 11:30:00 PST,+33.4515
2005-11-01 11:40:00 PST,+32.8335
2005-11-01 11:50:00 PST,+32.2278
2005-11-01 12:00:00 PST,+31.6328
2005-11-01 12:10:00 PST,+31.0419
2005-11-01 12:20:00 PST,+30.4555
2005-11-01 12:30:00 PST,+29.8745
2005-11-01 12:40:00 PST,+29.2988
2005-11-01 12:50:00 PST,+28.7325
2005-11-01 13:00:00 PST,+28.1744
2005-11-01 13:10:00 PST,+27.6108
2005-11-01 13:20:00 PST,+27.0346
2005-11-01 13:30:00 PST,+26.447
2005-11-01 13:40:00 PST,+25.8493
2005-11-01 13:50:00 PST,+25.2467
2005-11-01 14:00:00 PST,+24.6377
2005-11-01 14:10:00 PST,+24.0332
2005-11-01 14:20:00 PST,+23.4382
2005-11-01 14:30:00 PST,+22.8485
2005-11-01 14:40:00 PST,+22.2706
2005-11-01 14:50:00 PST,+21.6972
2005-11-01 15:00:00 PST,+21.1269
2005-11-01 15:10:00 PST,+20.5604
2005-11-01 15:20:00 PST,+19.9981
2005-11-01 15:30:00 PST,+19.444
2005-11-01 15:40:00 PST,+18.8976
2005-11-01 15:50:00 PST,+18.3511
2005-11-01 16:00:00 PST,+17.8072
2005-11-01 16:10:00 PST,+17.271
2005-11-01 16:20:00 PST,+16.7449
2005-11-01 16:30:00 PST,+16.24
2005-11-01 16:40:00 PST,+15.7654
2005-11-01 16:50:00 PST,+15.2889
2005-11-01 17:00:00 PST,+14.8159
2005-11-01 17:10:00 PST,+14.3504
2005-11-01 17:20:00 PST,+13.8937
2005-11-01 17:30:00 PST,+13.4714
2005-11-01 17:40:00 PST,+13.0869
2005-11-01 17:50:00 PST,+12.6942
2005-11-01 18:00:00 PST,+12.306
2005-11-01 18:10:00 PST,+11.9297
2005-11-01 18:20:00 PST,+11.5677
2005-11-01 18:30:00 PST,+11.2307
2005-11-01 18:40:00 PST,+16.228
2005-11-01 18:50:00 PST,+22.0651
2005-11-01 19:00:00 PST,+25.2284
2005-11-01 19:10:00 PST,+27.9694
2005-11-01 19:20:00 PST,+30.5938
2005-11-01 19:30:00 PST,+33.1457
2005-11-01 19:40:00 PST,+35.6325
2005-11-01 19:50:00 PST,+38.0544
2005-11-01 20:00:00 PST,+40.4138
2005-11-01 20:10:00 PST,+42.7124
2005-11-01 20:20:00 PST,+44.9518
2005-11-01 20:30:00 PST,+47.1311
2005-11-01 20:40:00 PST,+49.2513
2005-11-01 20:50:00 PST,+51.3183
2005-11-01 21:00:00 PST,+53.3322
2005-11-01 21:10:00 PST,+55.2968
2005-11-01 21:20:00 PST,+57.2138
2005-11-01 21:30:00 PST,+59.0743
2005-11-01 21:40:00 PST,+60.8783
2005-11-01 21:50:00 PST,+62.6422
2005-11-01 22:00:00 PST,+64.3628
2005-11-01 22:10:00 PST,+66.0395
2005-11-01 22:20:00 PST,+67.6731
2005-11-01 22:30:00 PST,+67.8861
2005-11-01 22:40:00 PST,+67.4404
2005-11-01 22:50:00 PST,+67.2604
2005-11-01 23:00:00 PST,+67.3799
2005-11-01 23:10:00 PST,+67.7698
2005-11-01 23:20:00 PST,+68.9609
2005-11-01 23:30:00 PST,+67.2434
2005-11-01 23:40:00 PST,+68.2045
2005-11-01 23:50:00 PST,+67.1516
