# file...... T_1_AS_632.csv
# date...... Thu Nov 01 18:07:03 2018
# user...... arnav
# host...... (null)
# trigger... (none)
# interval.. 600
# limit..... 0
# timestamp,T_1_AS_632:power_out_real
2005-11-01 11:30:00 PST,+13063.2
2005-11-01 11:40:00 PST,+13063.2
2005-11-01 11:50:00 PST,+1038.02
2005-11-01 12:00:00 PST,+1054.02
2005-11-01 12:10:00 PST,+1038.02
2005-11-01 12:20:00 PST,+1054.02
2005-11-01 12:30:00 PST,+1002.02
2005-11-01 12:40:00 PST,+1002.02
2005-11-01 12:50:00 PST,+1002.02
2005-11-01 13:00:00 PST,+1018.02
2005-11-01 13:10:00 PST,+13132
2005-11-01 13:20:00 PST,+13132
2005-11-01 13:30:00 PST,+861.012
2005-11-01 13:40:00 PST,+861.012
2005-11-01 13:50:00 PST,+861.012
2005-11-01 14:00:00 PST,+861.012
2005-11-01 14:10:00 PST,+861.012
2005-11-01 14:20:00 PST,+13096.1
2005-11-01 14:30:00 PST,+13096.1
2005-11-01 14:40:00 PST,+966.014
2005-11-01 14:50:00 PST,+861.012
2005-11-01 15:00:00 PST,+877.012
2005-11-01 15:10:00 PST,+12991.3
2005-11-01 15:20:00 PST,+13475.2
2005-11-01 15:30:00 PST,+1418.03
2005-11-01 15:40:00 PST,+1418.03
2005-11-01 15:50:00 PST,+1418.03
2005-11-01 16:00:00 PST,+1754.24
2005-11-01 16:10:00 PST,+1038.02
2005-11-01 16:20:00 PST,+1038.02
2005-11-01 16:30:00 PST,+1254.02
2005-11-01 16:40:00 PST,+3278.29
2005-11-01 16:50:00 PST,+3278.29
2005-11-01 17:00:00 PST,+3294.28
2005-11-01 17:10:00 PST,+15403.3
2005-11-01 17:20:00 PST,+15403.3
2005-11-01 17:30:00 PST,+6956.25
2005-11-01 17:40:00 PST,+4932.64
2005-11-01 17:50:00 PST,+5147.79
2005-11-01 18:00:00 PST,+4843.63
2005-11-01 18:10:00 PST,+4827.63
2005-11-01 18:20:00 PST,+4827.63
2005-11-01 18:30:00 PST,+5166.68
2005-11-01 18:40:00 PST,+5486.83
2005-11-01 18:50:00 PST,+5166.68
2005-11-01 19:00:00 PST,+5166.68
2005-11-01 19:10:00 PST,+17187.1
2005-11-01 19:20:00 PST,+17187.1
2005-11-01 19:30:00 PST,+5079.67
2005-11-01 19:40:00 PST,+5079.67
2005-11-01 19:50:00 PST,+5184.68
2005-11-01 20:00:00 PST,+5200.68
2005-11-01 20:10:00 PST,+5184.68
2005-11-01 20:20:00 PST,+5184.68
2005-11-01 20:30:00 PST,+5468.83
2005-11-01 20:40:00 PST,+5148.67
2005-11-01 20:50:00 PST,+5148.67
2005-11-01 21:00:00 PST,+5468.83
2005-11-01 21:10:00 PST,+5148.67
2005-11-01 21:20:00 PST,+7188.2
2005-11-01 21:30:00 PST,+6941.26
2005-11-01 21:40:00 PST,+6941.26
2005-11-01 21:50:00 PST,+6941.26
2005-11-01 22:00:00 PST,+6941.26
2005-11-01 22:10:00 PST,+3641.18
2005-11-01 22:20:00 PST,+2042.25
2005-11-01 22:30:00 PST,+1452.03
2005-11-01 22:40:00 PST,+1452.03
2005-11-01 22:50:00 PST,+1347.03
2005-11-01 23:00:00 PST,+1347.03
2005-11-01 23:10:00 PST,+1667.24
2005-11-01 23:20:00 PST,+1832.05
2005-11-01 23:30:00 PST,+1490.03
2005-11-01 23:40:00 PST,+1490.03
2005-11-01 23:50:00 PST,+1490.03
